2024-09-03 16:17:14.5331|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-09-03 16:17:14.5331|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-09-03 16:17:14.5331|0|INFO|Microsoft.Hosting.Lifetime|Content root path: D:\LEARNING\codeForMe\C#\VegaCityApp\VegaCityApp\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2024-09-03 16:17:14.9162|1|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7127/swagger/index.html - - |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestStarting
2024-09-03 16:17:15.1187|1|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7127/_framework/aspnetcore-browser-refresh.js - - |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestStarting
2024-09-03 16:17:15.1187|1|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7127/_vs/browserLink - - |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestStarting
2024-09-03 16:17:15.1187|2|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7127/swagger/index.html - - - 200 - text/html;charset=utf-8 203.6286ms |url: https://localhost/swagger/index.html|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestFinished
2024-09-03 16:17:15.1187|2|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7127/_framework/aspnetcore-browser-refresh.js - - - 200 12362 application/javascript;+charset=utf-8 1.8351ms |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestFinished
2024-09-03 16:17:15.1187|2|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7127/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 7.7793ms |url: https://localhost/_vs/browserLink|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestFinished
2024-09-03 16:17:15.1878|1|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 GET https://localhost:7127/swagger/v1/swagger.json - - |url: https://localhost/swagger/v1/swagger.json|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestStarting
2024-09-03 16:17:15.2547|2|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/2 GET https://localhost:7127/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 66.8669ms |url: https://localhost/swagger/v1/swagger.json|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestFinished
2024-09-03 16:17:37.2507|1|INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/2 POST https://localhost:7127/api/v1/auth/register application/json 164 |url: https://localhost/api/v1/auth/register|action: |Microsoft.AspNetCore.Hosting.HostingApplicationDiagnostics.LogRequestStarting
